name_dataset,method,depth_training,classifier,loss,weight1,weight2,depth_evaluation,acc_mean,acc_CI,f1_mean,f1_CI
wikivitals,bow,2,mlp,hierarchical_bce_loss,1.0, 0.0,2, 0.8078, 0.0121, 0.6197, 0.0186
wikivitals,bow,2,mlp,hierarchical_bce_loss,1.0, 0.0,1, 0.9072, 0.0074, 0.8874, 0.0095
wikivitals,bow,2,mlp,hierarchical_bce_loss,0.9, 0.1,2, 0.8065, 0.0155, 0.6185, 0.0236
wikivitals,bow,2,mlp,hierarchical_bce_loss,0.9, 0.1,1, 0.9074, 0.0091, 0.8869, 0.0117
wikivitals,bow,2,mlp,hierarchical_bce_loss,0.8, 0.2,2, 0.8069, 0.0144, 0.6220, 0.0205
wikivitals,bow,2,mlp,hierarchical_bce_loss,0.8, 0.2,1, 0.9101, 0.0079, 0.8910, 0.0096
wikivitals,bow,2,mlp,hierarchical_bce_loss,0.7, 0.3,2, 0.8082, 0.0140, 0.6218, 0.0260
wikivitals,bow,2,mlp,hierarchical_bce_loss,0.7, 0.3,1, 0.9082, 0.0072, 0.8878, 0.0097
wikivitals,bow,2,mlp,hierarchical_bce_loss,0.6, 0.4,2, 0.8062, 0.0111, 0.6138, 0.0140
wikivitals,bow,2,mlp,hierarchical_bce_loss,0.6, 0.4,1, 0.9093, 0.0059, 0.8890, 0.0070
wikivitals,bow,2,mlp,hierarchical_bce_loss,0.4, 0.6,2, 0.7995, 0.0123, 0.6003, 0.0136
wikivitals,bow,2,mlp,hierarchical_bce_loss,0.4, 0.6,1, 0.9133, 0.0069, 0.8937, 0.0086
wikivitals,bow,2,mlp,hierarchical_bce_loss,0.3, 0.7,2, 0.7951, 0.0126, 0.5880, 0.0120
wikivitals,bow,2,mlp,hierarchical_bce_loss,0.3, 0.7,1, 0.9133, 0.0063, 0.8939, 0.0081
wikivitals,bow,2,mlp,hierarchical_bce_loss,0.2, 0.8,2, 0.7807, 0.0113, 0.5571, 0.0133
wikivitals,bow,2,mlp,hierarchical_bce_loss,0.2, 0.8,1, 0.9129, 0.0054, 0.8921, 0.0070
wikivitals,bow,2,mlp,hierarchical_bce_loss,0.0, 1.0,2, 0.1214, 0.0377, 0.0197, 0.0035
wikivitals,bow,2,mlp,hierarchical_bce_loss,0.0, 1.0,1, 0.9112, 0.0038, 0.8900, 0.0053
wikivitals,bow,2,mlp,hierarchical_bce_loss,0.1, 0.9,2, 0.7378, 0.0124, 0.4711, 0.0109
wikivitals,bow,2,mlp,hierarchical_bce_loss,0.1, 0.9,1, 0.9112, 0.0050, 0.8903, 0.0068
